epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,444.623,2.44361,1.62173,1.30866,0.46079,0.35681,0.32986,0.08817,2.6131,1.81029,1.36271,0.0008813,0.0008813,0.0008813
115,853.289,2.43189,1.602,1.30308,0.4534,0.36486,0.32532,0.0864,2.63766,1.76998,1.37748,0.0008714,0.0008714,0.0008714
116,1285.12,2.44978,1.63532,1.30985,0.45217,0.35815,0.32012,0.08742,2.63032,1.9,1.37328,0.0008615,0.0008615,0.0008615
117,1785.16,2.46316,1.63324,1.30304,0.44441,0.38632,0.33292,0.08817,2.60626,1.74949,1.35261,0.0008516,0.0008516,0.0008516
118,2307.72,2.44276,1.62914,1.30455,0.42382,0.34978,0.30788,0.07993,2.63611,1.79836,1.37684,0.0008417,0.0008417,0.0008417
114,371.644,2.44361,1.62173,1.30866,0.46079,0.35681,0.32986,0.08817,2.6131,1.81029,1.36271,0.0008813,0.0008813,0.0008813
115,739.315,2.43189,1.602,1.30308,0.4534,0.36486,0.32532,0.0864,2.63766,1.76998,1.37748,0.0008714,0.0008714,0.0008714
116,1152.86,2.44978,1.63532,1.30985,0.45217,0.35815,0.32012,0.08742,2.63032,1.9,1.37328,0.0008615,0.0008615,0.0008615
117,1542.6,2.46316,1.63324,1.30304,0.44441,0.38632,0.33292,0.08817,2.60626,1.74949,1.35261,0.0008516,0.0008516,0.0008516
118,1924.42,2.44276,1.62914,1.30455,0.42382,0.34978,0.30788,0.07993,2.63611,1.79836,1.37684,0.0008417,0.0008417,0.0008417
119,2346.12,2.43415,1.64324,1.30889,0.46054,0.3779,0.34538,0.09173,2.6143,1.75919,1.3544,0.0008318,0.0008318,0.0008318
120,2734.88,2.44319,1.64746,1.30784,0.43634,0.36754,0.3256,0.08394,2.64038,1.79059,1.37637,0.0008219,0.0008219,0.0008219
121,3132.6,2.41609,1.60849,1.30132,0.44524,0.35949,0.319,0.08489,2.61875,1.75667,1.35596,0.000812,0.000812,0.000812
122,3568.12,2.42433,1.65557,1.29389,0.43585,0.36955,0.3219,0.08575,2.62838,1.77403,1.37593,0.0008021,0.0008021,0.0008021
123,3962.56,2.41887,1.61389,1.29454,0.46654,0.3713,0.33755,0.08775,2.62592,1.75609,1.36158,0.0007922,0.0007922,0.0007922
124,4344.72,2.41897,1.63489,1.29236,0.45194,0.40376,0.34513,0.09193,2.62839,1.72397,1.35887,0.0007823,0.0007823,0.0007823
125,4727.34,2.40533,1.64129,1.30647,0.45404,0.4004,0.35184,0.09253,2.60835,1.71072,1.34303,0.0007724,0.0007724,0.0007724
