epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,1052.71,2.58107,1.68309,1.30212,0.41911,0.41382,0.34394,0.09067,2.54151,1.71984,1.30685,0.0005744,0.0005744,0.0005744
73,391.881,2.58107,1.68309,1.30212,0.41911,0.41382,0.34394,0.09067,2.54151,1.71984,1.30685,0.0005744,0.0005744,0.0005744
74,792.682,2.57283,1.68059,1.27743,0.45507,0.46278,0.377,0.09802,2.54055,1.72553,1.31356,0.0005546,0.0005546,0.0005546
75,1196.72,2.57114,1.69031,1.3002,0.4324,0.40174,0.349,0.09464,2.54157,1.71571,1.31607,0.0005348,0.0005348,0.0005348
76,1593.05,2.57815,1.6889,1.28876,0.41763,0.3729,0.32403,0.08989,2.53867,1.78285,1.31621,0.000515,0.000515,0.000515
77,2006.14,2.57184,1.67408,1.28576,0.42641,0.42522,0.35232,0.09223,2.54775,1.71263,1.31461,0.0004952,0.0004952,0.0004952
78,2412.48,2.55189,1.6903,1.28693,0.44107,0.41784,0.36409,0.09695,2.55329,1.70313,1.31667,0.0004754,0.0004754,0.0004754
79,2856.17,2.58808,1.66204,1.27573,0.45293,0.43796,0.37764,0.09878,2.53838,1.72767,1.31004,0.0004556,0.0004556,0.0004556
80,3277.53,2.57677,1.6777,1.28778,0.43368,0.42723,0.35236,0.0949,2.53971,1.71469,1.31612,0.0004358,0.0004358,0.0004358
81,503.518,2.54206,1.65522,1.29067,0.4375,0.41247,0.35532,0.09295,2.53967,1.724,1.31178,0.000416,0.000416,0.000416
82,1028.01,2.53083,1.64278,1.2656,0.46998,0.45406,0.38633,0.10037,2.54994,1.7151,1.32068,0.0003962,0.0003962,0.0003962
83,1539.37,2.52885,1.65895,1.28455,0.43525,0.43472,0.35744,0.09519,2.54911,1.7186,1.31166,0.0003764,0.0003764,0.0003764
84,424.431,2.50109,1.61654,1.2792,0.44492,0.40105,0.3527,0.09402,2.55183,1.72616,1.31852,0.0003566,0.0003566,0.0003566
85,844.094,2.49406,1.6179,1.25419,0.46551,0.42321,0.36808,0.09646,2.56324,1.7057,1.32508,0.0003368,0.0003368,0.0003368
86,1265.41,2.49766,1.63539,1.27881,0.43296,0.43662,0.36045,0.09142,2.56415,1.73692,1.30958,0.000317,0.000317,0.000317
87,1685.65,2.54728,1.64413,1.27535,0.45125,0.42254,0.35929,0.09757,2.55671,1.7037,1.3215,0.0002972,0.0002972,0.0002972
88,2104.66,2.52658,1.63486,1.27177,0.46021,0.44668,0.37896,0.09713,2.55254,1.70724,1.31579,0.0002774,0.0002774,0.0002774
89,2524.63,2.50978,1.64679,1.27646,0.47323,0.44802,0.38689,0.10095,2.55697,1.69621,1.31313,0.0002576,0.0002576,0.0002576
90,2947.95,2.54449,1.62431,1.2597,0.46314,0.45205,0.38503,0.09967,2.55384,1.72856,1.30931,0.0002378,0.0002378,0.0002378
91,3361.9,2.54217,1.72718,1.33101,0.43731,0.43993,0.3647,0.09983,2.5543,1.7033,1.31562,0.000218,0.000218,0.000218
92,3775.99,2.52707,1.69134,1.32497,0.44746,0.43192,0.3712,0.09558,2.5596,1.70737,1.31459,0.0001982,0.0001982,0.0001982
93,4189.52,2.5134,1.68997,1.33006,0.45671,0.44131,0.36654,0.09406,2.56531,1.71652,1.31483,0.0001784,0.0001784,0.0001784
94,4603.1,2.49825,1.69553,1.33453,0.47324,0.4279,0.38079,0.10034,2.55364,1.70643,1.31072,0.0001586,0.0001586,0.0001586
95,5016.74,2.51754,1.69412,1.33979,0.47441,0.41046,0.37151,0.09857,2.54597,1.71317,1.31103,0.0001388,0.0001388,0.0001388
96,5428.54,2.50252,1.68396,1.34125,0.47843,0.40845,0.37311,0.10022,2.55273,1.70911,1.31721,0.000119,0.000119,0.000119
97,5840.46,2.49855,1.69111,1.34112,0.47726,0.40781,0.37048,0.09994,2.54447,1.70837,1.31156,9.92e-05,9.92e-05,9.92e-05
98,6252.78,2.49849,1.68169,1.33548,0.47806,0.42939,0.38248,0.10143,2.54829,1.69525,1.31199,7.94e-05,7.94e-05,7.94e-05
99,6666.91,2.50318,1.67556,1.32484,0.47204,0.43125,0.37573,0.09948,2.54551,1.70456,1.3091,5.96e-05,5.96e-05,5.96e-05
100,7080.1,2.48624,1.68223,1.34088,0.47143,0.42321,0.3724,0.09962,2.54734,1.70119,1.30997,3.98e-05,3.98e-05,3.98e-05
